Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
Universal Containers wants users to have access to the pricing guidelines document when viewing a Contract related to an Account.What feature should an app builder use to create easy access to the document?,Multiple Choice,No,Yes,No,Yes,2,1,1,Quick Action on the Account object,0,A custom detail page link on the Account object,0,Quick Action on the Contracts object,0,A custom detail page link on the Contract object,1,,0,,0
Ursa Major Solar (UMS) has a custom object where they track Galactic Vendors. The object has four custom fields for the Galactic Vendors's location:Street (Street__c)City (City__c)Planet (Planet__c)Galaxy (Galaxy__c)The UMS's leadership wants these fields to be concatenated into a single formula field on two lines.Which formula fulfills this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Street__c & BR() &City__c & "", "" & Planet__c & "" "" & Galaxy__c",1,"Street -City, Planet Galaxy",0,"Street__c -City__c, Planet__c Galaxy__c",0,"Street & BR() &City & "", "" & Planet & "" "" & Galaxy",0,,0,,0
Universal Containers manages leads in a Lead qualification queue where sales reps can accept ownership of the Lead. Campaign members are required to have a sales owner.What validation rule should an app builder configure? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,NOT(ISNEW() && ISBLANK(Lead.Owner:Queue.Id)),0,NOT( ISBLANK(Lead.Owner:Queue.Id)),1,AND( ISBLANK(Lead.Owner.Id) ),0,"AND(ISNEW(), ISBLANK(Lead.Owner:User.Id))",0,,0,,0
What should an app builder consider when choosing a template for a new Lightning record page?,Multiple Choice,No,Yes,No,Yes,2,1,1,Select a new template for each type of device users use to view the record page.,0,Page structure will automatically adapt to the device being used to view the record page.,1,The template is unable to be changed after the initial save.,0,"To view the record page, users need ""View All Data"" permissions for the object.",0,,0,,0
An app builder installed a custom Lightning component from AppExchange and has deployed My Domain.What should be done next in order to configure the component for use in a record page?,Multiple Choice,No,Yes,No,Yes,2,1,1,Edit a record page using the Page Layout editor > Drag the Visualforce component onto the page.,0,Edit a record page using Lightning App Builder > Drag the component onto the page.,1,Edit a record page using App Manager > Drag the component onto the page.,0,Edit a record page using the Page Layout editor > Drag the component onto the page.,0,,0,,0
DreamHouse Realty (DR) has many properties for sale and wants to identify the highest value of all Offer__c records on each Property__c record.What solution should the app builder use to meet DreamHouse Realty's needs?,Multiple Choice,No,Yes,No,Yes,2,1,1,Text Area (Long),0,Master-Detail Child Object,1,Lookup Object,0,Multi-select Picklist,0,,0,,0
"Cloud Kicks works on an annual subscription model. When a sales rep marks an opportunity as closed won, a new opportunity should automatically be created for the renewal. The contracts team works outside of Salesforce but also needs to be notified about closed deals in order to initiate the contract process with the customer.Which automation solution would meet these requirements? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Workflow Rule,1,Process Builder,0,Validation Rule,0,Approval Process,0,,0,,0
"Cloud Kicks wants to summarize the number of open Cases related to an Account, as well as the number of closed Cases to indicate whether customer support utilization is high, medium, or low. Two number fields have been created: NUM_Open_Cases__c and NUM_Closed_Cases__c.Which two automation solutions would meet these business requirements? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Workflow,0,AppExchange,0,Process Builder,1,Apex,1,,0,,0
"An app builder installs an unmanaged package in a full copy sandbox that is an exact match for production, and now they are ready to install it in production. When the app builder attempts to install the package in production, it fails.Why did the package fail to install?",Multiple Choice,No,Yes,No,Yes,2,1,1,Package features not compatible,1,Incorrect license types,0,Object limits exceeded,0,Apex unit test failures,0,,0,,0
Which two places can an app builder go to see a list of available Custom Lightning components in their org? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Visualforce components in Setup,0,Lightning App Builder,1,Lightning components in Setup,1,Salesforce Optimizer App,0,,0,,0
"At Ursa Major Solar, there is a single Lightning record page for the Celestial Bodies custom object; however, there is a Lightning component the app builder wants to restrict to mobile app users.Which feature in the Lightning app builder should be utilized? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Highlights panel,0,Chatter feed,0,Component visibly filter,1,Related list quick links,0,,0,,0
The finance manager at Universal Containers wants to receive a new business notification email each time a new client is won. The sales manager wants to receive a task letting them know to onboard the new client unless it is a top-tier client.Which automation tool should an app builder use to best address all these requests? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Apex,0,Screen flow,0,Record-triggered flow,1,Approval process,0,,0,,0
Ursa Major Solar (UMS) is looking to hire some new employees. UMS wants to allow the same applicant to apply for multiple open positions using a single application.What should an app builder recommend to meet these requirements? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Create a master-detail relationship field on Applicant__c to Application__c,0,Create a master-detail relationship field on Application__c to Open_Position__c,0,Create a master-detail relationship on Open_Position__c to Application__c,1,Create a master-detail relationship field on Applicant__c to Applicatlon_c,0,,0,,0
An app builder at Universal Containers has been asked to add the Chatter feed to a custom object record page.Which approach should the app builder use? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Add the standard related list component,0,Add the standard Chatter feed component,1,Add the Chatter feed component from the AppExchange,0,Add a custom Chatter feed component,0,,0,,0
The Sales Operations team at AW Computing deletes accounts for a variety of reasons. The sales ops director is worried that the Sales team may delete accounts that sales reps are actively selling into.How should the app builder keep accounts with open opportunities from being deleted?,Multiple Choice,No,Yes,No,Yes,2,1,1,Remove the Delete permission from the Sales Rep profile.,0,Remove the delete button on the account layout.,0,Create an Apex Trigger on the Account object.,1,Create a validation rule on the Account object.,0,,0,,0
"An app builder created multiple custom fields, page layouts, and reports in the sandbox and added them to a change set. After the change set was deployed to production, the reports were NOT deployed.What should the app builder do? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Recreate the reports in production. Reports are not supported in change sets.,0,Move the reports to the Unfiled Public Reports folder and add them to a new change set,0,Add the reports to an unmanaged package and Install the unmanaged package into production.,0,Move the reports from the Unfiled Public Reports folder and add them to a new change set.,1,,0,,0
Cloud Kicks has a shipment date on each shipment that is sent out. Dispatchers need more details on the day and time the shipment was sent out. The app builder needs to change the current field type that is used from Date to Date/Time.What should the app builder be aware of when it comes to data already in the system? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Historical data will be updated to 12:00 timestamp.,1,The field name will change.,0,Data loss will be experienced.,0,The change will be instant.,0,,0,,0
Ursa Major Solar (UMS) uses a public sharing model for accounts. UMS would like to move to a more restrictive sharing model but wants the Sales team to continue to have access to all account records with the sales record type.Which two actions should an app builder complete to implement this change? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Update the organization-wide defaults.,1,Create an owner-based sharing rule.,0,Create a criteria-based sharing rule.,1,Update the Sales profile.,0,,0,,0
The CFO of Cloud Kicks needs to sign off on any major shoe retail deal that has a discount of more than 30% before the deal can be closed.What feature would be used to handle this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Workflow Rule,0,Field update,0,Approval Process,1,Email Alert,0,,0,,0
"The Recruiting team at AW Computing captures the job acceptance and date of hire of a candidate on the Job Application custom object. Once the candidate accepts the recruiter's Job offer, the date of hire should be entered and not be changed on subsequent record edits.Which validation formula should the app builder use? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,(ISBLANK(Job_Accepted__c) || NOT(ISCHANGED(Hire_Date__c)),0,(ISBLANK(Job_Accepted__c) && NOT(ISCHANGED(Hire_Date__c)),0,NOT(ISBLANK(Job_Accepted__c)) && ISCHANGED(Hire_Date__c),1,NOT(ISBLANK(Job_Accepted__c)) || ISCHANGED(Hire_Date__c),0,,0,,0
Universal Containers utilizes opportunities and a custom object called Detailed_Sales__c. The company would like to roll sales metrics up to an opportunity for only Detailed_Sales__c records that have their picklist status set to Active.What is the recommended method for the app builder to achieve this request?,Multiple Choice,No,Yes,No,Yes,2,1,1,Utilize Apex code to roll up the desired amounts.,0,Utilize the AppExchange to download a third-party application that can roll up the sales dollars with the appropriate filter.,0,Create a master-detail relationship between the parent and child object with a roll-up summary field that filters on the status field.,1,Create a lookup relationship between the parent and child object with a roll-up summary field that filters on the status field.,0,,0,,0
An app builder wants to use Process Builder to automate some of the work being done by the sales team.What are three capabilities of Process Builder that can improve productivity? (Choose three.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,3,3,Send an email alert.,1,Create a child record.,1,Send an outbound message.,0,Delete a related record.,0,Update a related record.,1,,0
"When a deal is closed-won, it has to be approved by the owner's manager prior to being added to the leaderboard for a quarterly sales competition. An opportunity is won on the last day of the quarter and the manager is on vacation.What is recommended to ensure all of the appropriate deals are reviewed and the leaderboard is up to date? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Have the manager log on and reassign the approval request.,0,Set up a delegated approver for the manager.,1,Forward the approval request to the manager's assistant.,0,Use Process Builder to assign a delegated approver.,0,,0,,0
"An app builder at Northern Trail Outfitters created a sandbox template for Accounts, Projects, and Project Milestones to reconfigure some flows for the project management app.Which type of testing environment should the app builder create?",Multiple Choice,No,Yes,No,Yes,2,1,1,Partial Copy,1,Developer,0,Developer Pro,0,Scratch Org,0,,0,,0
"Dream House Realty has a mentorship program that pairs experienced Realtors with new Realtors. Each experienced Realtor can mentor one or several new Realtors, and each new Realtor is required to work with a single experienced Realtor they report to for a probationary period.What type of relationship would an app builder set up to meet this specification? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Many-to-many,0,Indirect lookup,0,Lookup,1,Master-detail,0,,0,,0
An app builder has created a custom Lightning App and wants to make it available to the internal users at Universal Containers.Which two steps are necessary to accomplish this task? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Upload the app to Static Resources,0,Add the app to a Visualforce page.,0,Assign app to profiles.,1,Build a Custom Tab for the app.,1,,0,,0
"Ursa Major Solar wants to create a relationship between the standard Contact object and a custom Solar Project object. Contact s can potentially be related to multiple Solar Project objects, and a Solar Project can have multiple Contacts associated with it.How should an app builder configure the data model? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,One Master-detail relationship on Contact and one Master-detail relationship on Solar Project,0,Two Master-detail relationships on a new custom object,1,One Lookup relationship on Contact and one Lookup relationship on Solar Project,0,Two Lookup relationships on a new custom object,0,,0,,0
An app builder wants to create a new field using Schema Builder.Who will get access to the new field by default?,Multiple Choice,No,Yes,No,Yes,2,1,1,Internal profiles,1,All profiles,0,Standard profiles,0,No profiles,0,,0,,0
An app builder at Northern Trail Outfitters needs to change the data type of some custom fields. The org has already met the field limit on the object and would like to limit recreating fields.What data type change limitations should the app builder consider? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Changing the data type of a field used in a report from text to an encrypted field,0,Changing the data type of a field used in an Apex class from number to text,0,Changing the data type of a field used in lead conversion from number to text,0,Changing the data type of a field used as an External ID from number to text,1,,0,,0
The app builder at Cloud Kicks has created a custom object named Delivery__c to track the details of products shipped to customers.Which two actions should the app builder take to prevent users in the shipping department from deleting delivery records? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Change the organization-wide default of deliveries to Private.,0,Remove the delete button from the Delivery page layout.,1,Remove the Delete permission from the Shipper profile.,1,Use a permission set to remove the Delete permission.,0,,0,,0
"Universal Containers has a private sharing model for Accounts and Opportunities and uses Territory Management to grant access to records.•	Sales rep A manually shares an opportunity record with sales rep B.•	Sales rep B has access to the Account even though the Account is NOT in sales rep B's territory.•	Sales rep C CANNOT see either record.Based on the information given, why can sales rep B see the Account related to the Opportunity? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Account was also manually shared.,0,Sales rep B was added to the Account team.,0,Sharing set is granting access to the Account.,0,Sales rep B has implicit access to the Account.,1,,0,,0
DreamHouse Realty is building a custom Lightning app to track its expanding solar water collection business. The Lightning app currently contains a custom Lightning record page with standard components.From which two resources should an app builder get custom components to bring into the new Lightning app? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Visualforce,0,AppExchange,1,Import Wizard,0,Apex Code,1,,0,,0
"DreamHouse Realty (DHR) recently acquired Cloud Kicks (CK), a company that is still on Salesforce Classic. DHR is keeping the CK Salesforce org; however, it will migrate this org to Lightning Experience.Where should the app builder find prebuilt resources to help with this project and overall adoption?",Multiple Choice,No,Yes,No,Yes,2,1,1,AppExchange,1,Lightning Object Creator,0,Import Wizard,0,Flow Builder,0,,0,,0
"An app builder at Ursa Major Solar has been working on a new custom app in a sandbox that has been upgraded to the next major Salesforce version, and their production instance is still on the current Salesforce version. The development is complete and they are ready to deploy a change set.What should the app builder consider when planning the deployment?",Multiple Choice,No,Yes,No,Yes,2,1,1,The change set components will be upgraded to the next version in production.,0,The change set will be automatically deployed when production is upgraded.,0,The deployment is not possible due to different versions.,0,It will fail if there is a feature only available in the next version.,1,,0,,0
An app builder wants to create a custom Syne button on Account that will call a Lightning Web Component that connects with an external system. This action should only be available if the custom Status field is set to Ready to Sync.What should an app builder use to add functionality to an Account record page?,Multiple Choice,No,Yes,No,Yes,2,1,1,Custom link,0,Dynamic action,1,AppExchange product,0,Formula field,0,,0,,0
DreamHouse Realty requires that field value changes for certain fields such as Asking_Price__c and Real_Estate_Agent__c on their House__c custom object show up prominently on Chatter.What Chatter feature should the app builder utilize?,Multiple Choice,No,Yes,No,Yes,2,1,1,Thanks,0,Publisher Actions,0,Feed Tracking,1,Topics,0,,0,,0
"After a deal is closed, Cloud Kicks (CK) wants to assign a user as a customer service manager (CSM) in addition to the account owner and would like a new field to easily track and report which CSM is assigned to the Account.Which solution should an app builder use for this request?",Multiple Choice,No,Yes,No,Yes,2,1,1,Picklist field,0,Lookup field,1,Text field,0,Multi-select picklist field,0,,0,,0
Northern Trail Outfitters has two custom objects that are part of a master-detail relationship.What determines the ownership and sharing access of the detail record?,Multiple Choice,No,Yes,No,Yes,2,1,1,The Owner field on the Detail record.,0,The Owner field on the Master record.,1,The default owner is set in the parent object's settings.,0,The owner is set independently on the detail object's settings.,0,,0,,0
Cloud Kicks (CK) captures all shipping information in a custom object called Shipments__c. CK's app builder is tasked with creating an approval process to ensure department members can approve all overnight shipments.Where should the app builder route the approval request?,Multiple Choice,No,Yes,No,Yes,2,1,1,Public group,0,Queue,1,Hierarchy field,0,Role,0,,0,,0
"After Universal Containers converts qualified leads, sales reps need to be able to report on converted leads.How should an app builder support this requirement? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Enable Preserve Lead Status in the lead conversion settings.,0,Ensure the representative has Read access to the original lead records.,1,Create a custom report type with Converted Leads as the primary object.,0,Assign the representative View and Edit Converted Leads permission.,0,,0,,0
"Cloud Kicks has three types of customer support processes: Platinum, Diamond, and Bronze. The app builder created separate record types for each process on the Case object. The customer support team should be unable to create new cases with the Bronze record type.How should this requirement be met? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Update the organization-wide defaults to private for Case.,0,Update the support team profile to remove the Bronze record type.,1,Create a permission set group for Case that includes Platinum and Diamond record types.,0,Make the record type hidden to support users; update sharing rules to private.,0,,0,,0
Universal Containers (UC) has a time-sensitive need for a custom component to be built in 4 weeks. UC developers require additional enablement to complete the work and are backlogged by several months.Which option should an app builder suggest to meet this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Use a Bolt solution.,0,Use an AppExchange solution.,1,Build a Lightning record page.,0,Build a screen flow page.,0,,0,,0
Universal Containers has a single Contact Lightning record page. A component takes up a lot of room on the page and is NOT needed by users with a Marketing profile.What should the app builder use to solve this issue?,Multiple Choice,No,Yes,No,Yes,2,1,1,AppExchange,0,Field-level security,0,Detail page layouts,0,Component visibility filter,1,,0,,0
"The VP of Sales at Universal Containers has asked the app builder to let sales reps create opportunity records directly from the account, with a number of fields pre-populated.Which feature should the app builder use to allow users to create the opportunity?",Multiple Choice,No,Yes,No,Yes,2,1,1,A custom link,0,A default action,0,A quick action,1,A custom button,0,,0,,0
Cloud Kicks (CK) wants to simultaneously delete a Supplier_c record and all Supplier_Item__c records if a partnership ends with a supplier.What solution could an app builder use to meet the requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Many-to-many,0,Hierarchical,0,Master-detail,1,Indirect lookup,0,,0,,0
Cloud Kicks wants to efficiently increase the company’s adoption of Salesforce while simultaneously moving away from their reliance on spreadsheets. An app builder is given a spreadsheet everyone is sharing that needs to be added to Salesforce. The object with fields needs to be created and the data inserted simultaneously.Which tool should be used?,Multiple Choice,No,Yes,No,Yes,2,1,1,Schema Builder,0,Import Wizard,0,Data Loader,0,Lightning Object Creator,1,,0,,0
Cloud Kicks wants to display the number of Opportunity records associated with each Account.Which solution should be used?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lookup field,0,AppExchange offering,0,Process builder,0,Roll-up summary field,1,,0,,0
An app builder has been asked to integrate Salesforce with an external web service. The web service must be notified every time an opportunity is won.What are two ways to satisfy this requirement? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Use a Screen Flow with an outbound message.,0,Use an outbound message.,1,Use a Validation Rule and Apex code.,0,Use a record-triggered flow and an outbound message.,1,,0,,0
A new app builder on the Cloud Kicks team is getting familiar with relationships in the data model.What functionality would present the app builder a comprehensive view of all relationships in one place?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lightning Record Page,0,Object Manager,0,Lightning Object Creator,0,Schema Builder,1,,0,,0
An app builder wants to update a field on the parent record when a child record connected via lookup is deleted.What automation should the app builder use?,Multiple Choice,No,Yes,No,Yes,2,1,1,Validation Rule,0,Quick Action,0,Screen flow,0,Record-triggered flow,1,,0,,0
