Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
What is not true regarding relating Tasks and Events to other objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,Accounts are associated via the WhatID or AccountID.,0,Leads are associated via the WhoID.,0,Custom Objects are associated via the What ID.,0,Assets are associated via the WhatID.,0,Contacts are associated via the WhatID.,1,,0
Contracts must be approved before the status is set to Finalized.How can this requirement be met?,Multiple Choice,No,Yes,No,Yes,2,1,1,Add a final approval action in the approval process to update a field on the contract and use a validation rule to check this field when the contract status is changed to Finalized.,1,Use a trigger on the contract object to check the contract has been approved when the status is changed.,0,Use Process Builder to check the contract is approved when the contract is edited and the status is set to Finalized.,0,"Add a validation action in the approval process to ensure the status is not set to ""Finalized"" before the contract is approve.",0,,0,,0
What is true regarding changing the field type of a rich text area?,Multiple Choice,No,Yes,No,Yes,2,1,1,It is not possible to change the field type of a rich text area.,0,Rich text area fields can be converted but only to a long text area field type.,1,Images in a rich text area are deleted when the field type is converted.,0,Rich text area fields can be converted to a text area field type but data may be truncate.,0,,0,,0
"Universal Containers provides access to Salesforce for their sales, service and marketing teams. Management wants to ensure that when users log in, their home tab provides access to links and documentation that are specifically relevant to their job function.How can this requirement be met?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create separate home page custom components and layouts; assign to users by role.,0,Create separate home page custom components and layouts; assign to users by profile.,1,Expose specific elements within a home page custom component determined by role.,0,Expose specific elements within a home page custom components determined by profile.,0,,0,,0
Which capability allows an app builder to grant object-level access? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Assigning a user a Profile that allows Read access to an object.,1,Assigning a user a Public Group that allows for Read and Edit access to an object.,0,Assigning a user a Permission Set that allows Read and Edit access to an object.,1,Assigning a user a Role that allows Read access to an object.,0,,0,,0
"Universal containers would like to use a chatter group for their mergers and acquisition team to collaborate on potential new projects. This group should not be visible for non-members to see or join, and can be accessed by invite only.Which chatter Group type should the app builder recommend?",Multiple Choice,No,Yes,No,Yes,2,1,1,Member Group,0,Unlisted Group,1,Public Group,0,Private Group,0,,0,,0
Which statement is true when defining a Create custom action for the Contact object? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,The create action will ignore field requirements.,0,The create action can pre-define Contact field values.,1,The create action allows a user to select a record type.,0,The create action will respect validation rules.,1,,0,,0
Universal Containers allows users to create standard reports on demand.What are two considerations users should be aware of when creating a new report? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Users can require that child objects exist for parent records using a cross filter,0,Records will be available in the report regardless of security permissions,0,Reports created from standard report types are available to all users,1,The report type determines the types of records and fields that will be available,1,,0,,0
An app builder wants to prevent users from creating new records on an account related list by overriding standard buttons.Which two aspects should be considered before overriding standard buttons? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Standard buttons that are NOT available for overrides can still be hidden on page layouts.,1,"Standard buttons can be changed on lookup dialogs, list views, and search result layouts.",0,"Standard buttons can be overridden, relocated on the detail page, and relabeled.",0,Standard button can be overridden with a VF page.,1,,0,,0
What are two reasons to create unmanaged packages? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Deploying from a Developer Edition environment.,1,Publishing an application for sale on the AppExchange.,0,Distributing upgradeable components to other Salesforce orgs,0,Distributing open-source projects on the AppExchange.,1,,0,,0
Universal Containers uses a custom object to track expense reports. They would like to automatically post updates on a record's feed whenever an expense report has been approved.What social feature can be used to accomplish this?,Multiple Choice,No,Yes,No,Yes,2,1,1,Approval process,0,Feed Quick Action,0,Auto-response rule,0,Feed tracking,1,,0,,0
A Manager at Universal Containers has requested that a custom text field be converted to a picklist in order to promote better data hygiene.Which two actions should be considered before changing the field type? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Changing a field type will remove existing field history.,0,Field reference will be removed in Visualforce pages.,0,Existing list views that reference the field may be deleted.,1,All data should be backed up before converting a text field.,1,,0,,0
Which of the following are types of access within an organization? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Object,1,Record,1,Field,1,Administrative,0,User,0,,0
What of the following are general types of actions available in Salesforce? (Choose four.),Multiple Choice,No,Yes,No,Yes,2,4,4,"Update ג€"" Update Records",1,"Create ג€"" create a record",1,"Log a Call ג€"" log a call and it is recorded as a task",1,"Custom ג€"" requires visual force page",1,"Remove ג€"" Remove a record",0,"Delete ג€"" permanently remove a record",0
Which of the following are types of developer sandboxes environment types in Salesforce? (Choose four.),Multiple Choice,No,Yes,No,Yes,2,4,4,Developer,1,Developer Pro,1,Partial Copy,1,Full Sandbox,1,Partial Sandbox,0,Full Copy,0
Which permission is required to install and uninstall packages from Salesforce AppExchange?,Multiple Choice,No,Yes,No,Yes,2,1,1,Create AppExchange Packages.,0,Download AppExchange Packages.,1,Manage Package Licenses.,0,Upload AppExchange Packages.,0,,0,,0
Which of the following statements are true about Record IDs? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,The 18 character ID is case?insensitive,1,The 15 character ID is case?insensitive,0,The 18 character ID is case?sensitive,0,The 15 character ID is case?sensitive,1,,0,,0
What is the maximum number of master-detail lookup relationships allowable per object?,Multiple Choice,No,Yes,No,Yes,2,1,1,1,0,2,1,3,0,4,0,,0,,0
Which three options are available for assigning access to Lightning Pages using Lightning App Builder? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Profile and permission sets,0,App default,1,Role and subordinates,0,The org default,1,"App, record type, profile",1,,0
"What standard Chatter actions (Post, File, Link, Poll, and Thanks) appear on the user profile page, regardless of the actions in the User page layout? (Choose three.)",Multiple Choice,No,Yes,No,Yes,2,3,3,Create,0,Post,1,Poll,1,Email,0,File,1,,0
What language is used to query Salesforce for specific information?,Multiple Choice,No,Yes,No,Yes,2,1,1,Apex,0,SOQL,1,SQL,0,SOSL,0,,0,,0
Which two of the following are supported actions for the Global Actions Menu? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Launch a custom Canvas App,1,Upload a new Chatter File,0,Post to a Chatter feed,0,Launch a custom Lighting Component,1,,0,,0
