Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
In which of these scenarios is ETL a better choice than Lightning Connect? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,You need to create or update the external data in addition to reading it.,0,You need the external data to follow the sharing rules defined for your organization.,1,You want to generate reports and charts from the external data.,0,All of the above.,0,,0,,0
Which of these is NOT true about external objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,"They integrate with Salesforce APIs, Apex, Visualforce, and Chatter.",0,They can be related to other objects.,0,You can use them in formula fields.,1,They are automatically viewable in the Salesforce Mobile App.,0,,0,,0
Users can get Salesforce in all of the following ways except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,As a mobile browser app that runs in supported browsers.,0,As a downloadable app from Google Play.,0,As a downloadable app from www.salesforce.com,1,As a downloadable app from the Apple App Store.,0,,0,,0
The Salesforce user interface includes all of these key elements except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Feed,0,Action Bar,0,Navigation Menu,0,Widgets page,1,Record view,0,,0
When should you refresh a sandbox?,Multiple Choice,No,Yes,No,Yes,2,1,1,3 Hours before you need it.,0,When you are finished with the current sandbox.,1,10 Days after an implementation.,0,Anytime.,0,,0,,0
What is true about dashboard filters? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Filters can be added to dashboards that contain Visualforce components.,0,It's not possible to filter on bucket fields.,1,Filters aren't applied when you schedule or e-mail a dashboard.,1,You can't filter data on a joined report in dashboard view or add a filter to a dashboard that only has joined reports.,1,,0,,0
A manager wants to embed charts into his accounts object in one-page layout.How many charts can you embed for him?,Multiple Choice,No,Yes,No,Yes,2,1,1,3,0,2,1,4,0,1,0,,0,,0
What are the two types of packages? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Unmanaged,1,Named,0,Managed,1,Upgraded,0,,0,,0
What should you do when a user requests a report?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Ask follow-up questions, to get all the requirements.",0,Document the user's requirements.,0,Map the user's requirements to report criteria.,0,All of the above.,1,,0,,0
You can control access to report folders based on __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,"Permissions, roles, and public groups.",1,"Public groups, organization-wide defaults, and IP restrictions.",0,"Password settings, permissions, and user settings.",0,All of the above.,0,,0,,0
"When you specify a single running user of a dashboard, that user __________.",Multiple Choice,No,Yes,No,Yes,2,1,1,Is the only one who can post a snapshot of the dashboard to Chatter.,0,"Determines which data is displayed on the dashboard, due to the user's security settings.",1,Must be the same person who created the report.,0,"Must have the ""View All Data"" permission.",0,,0,,0
DRAG DROP -In what order does Salesforce process rules?Match the rules from the left column with their appropriate order in the right column.Select and Place:,Multiple Choice,No,Yes,No,Yes,2,1,1,,0,,0,,0,,0,,0,,0
All of the following are advantages of the Schema Builder except __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,All object and field relationship details are available from one screen.,0,"You can view fields and relationships for custom, but not standard objects.",1,"Schema Builder shows details like field values, required fields, and how objects are related.",0,"It's easy to build objects and fields directly from the Schema Builder, allowing you to visualize and change relationships with ease.",0,,0,,0
What should be done to create a custom object from the Schema Builder?,Multiple Choice,No,Yes,No,Yes,2,1,1,"From the Objects tab, select New>Object.",0,"From the Elements tab, drag Object onto the canvas.",1,"Right-click in the canvas and select ""New Object"".",0,,0,,0,,0
What should be done to create a custom field from the Schema Builder?,Multiple Choice,No,Yes,No,Yes,2,1,1,"From the Objects tab, select New>Field.",0,"From the Elements tab, drag a field type onto the canvas.",1,"In the canvas, right-click an object and select ""New Field"".",0,,0,,0,,0
To leverage flows you need to __________.,Multiple Choice,No,Yes,No,Yes,2,1,1,Have Run Flows permission enabled.,0,Have access to the Visualforce page the flow uses.,0,The flow must be active.,0,All of the above.,1,,0,,0
Which three statements are true about Master-Detail relationships? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,You can't convert it if there is a roll-up summary field.,1,Converting a look-up to master detail changes the OWD to Controlled by Parent.,1,A look-up can be converted to a master detail if there are existing records with null values.,0,SF displays a waiting page after you request to change a master detail to a look-up or vice versa.,1,,0,,0
What happens when you convert a picklist to a multi-select picklist? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Values are retained.,1,Values not in the picklist are deleted from existing records when the data type changes.,1,Data is lost.,0,You can't convert to a multi-select picklist.,0,,0,,0
"If data is lost, any list view based on the custom field will be deleted, and assignment and escalation rules may be affected.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
"You can convert a Text Area(Long) to E-mail, Phone, Text, Text Area or URL without data loss. (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,True,0,False,1,,0,,0,,0,,0
You cannot change auto number to text and vice versa and not lose your data.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,0,False,1,,0,,0,,0,,0
You can have multiple records with the same external ID.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What is true about a master detail relationship? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,"To create multilevel master-detail relationships, you need the ""Customize Application"" user permission.",1,Standard objects can't be on the detail side of a custom object in a master-detail relationship.,1,You can create a master-detail relationship if the custom object already contains data.,0,You can create a relationship as a lookup and then convert it to master-detail if the lookup field in all records contains a value.,1,"By default, records can be reparented master-detail relationships.",0,,0
What is true about Junction objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,Junction object records are deleted when either associated master record is deleted and placed in the Recycle Bin.,0,"If both associated master records are deleted, the junction object record is deleted permanently and can't be restored.",0,The first master-detail relationship you create on your junction object becomes the primary relationship.,0,All of the above.,1,,0,,0
What type of relationships can you create on External Objects? (Choose all that apply.),Multiple Choice,No,Yes,No,Yes,2,3,3,Lookup,1,External lookup,1,Indirect lookup,1,Direct lookup,0,All of the above,0,,0
Indirect lookup relationship fields can be created on external objects only.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What is true about external lookup relationship fields? (Choose all that apply.),Multiple Choice,No,Yes,No,Yes,2,2,2,Lookup filters are available for external lookup relationship fields.,0,Cascade-delete isn't available for external object relationships.,1,Only objects that have a custom field with the External ID and Unique attributes are available as parent objects in indirect lookup relationships.,1,All of the above.,0,,0,,0
Each workflow rule applies to a single object.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What is true for all custom and some standard objects?,Multiple Choice,No,Yes,No,Yes,2,1,1,You can create workflow and approval actions where a change to a detail record updates a field on the related master record.,0,"Cross-object field updates work for custom-to-custom master-detail relationships, custom-to-standard master-detail relationships.",0,Cross-object field updates work for a few standard-to-standard master-detail relationships.,0,All of the above.,1,,0,,0
Workflow rules on custom objects are NOT automatically deleted if the custom object is deleted.,Multiple Choice,No,Yes,No,Yes,2,1,1,True,0,False,1,,0,,0,,0,,0
What order does SF process rules?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Validation rules, assignment rules, workflow rules, auto-response rules, escalation rules.",0,"Validation rules, assignment rules, auto-response rules, workflow rules, escalation rules.",1,"Escalation rules, Validation rules, assignment rules, auto-response rules, workflow rules.",0,"Auto-response rules, Validation rules, assignment rules, workflow rules, escalation rules.",0,,0,,0
What is true about Workflow rules? (Choose all that apply.),Multiple Choice,No,Yes,No,Yes,2,3,3,Saving or creating records can trigger more than one rule.,1,Workflow rules only trigger on converted leads if validation and triggers for lead convert are enabled in your organization.,1,Workflow rules trigger automatically and are visible to the user.,0,"Workflow rules can't be triggered by campaign statistic fields, including individual campaign statistics and campaign hierarchy statistics.",1,,0,,0
What are the limitations of workflow rules?,Multiple Choice,No,Yes,No,Yes,2,1,1,You can't create e-mail alerts for workflow rules on activities.,0,You can't package workflow rules with time triggers.,0,You can't create outbound messages for workflow rules on junction objects.,0,All of the above.,1,,0,,0
What is true about validation rules? (Choose all that apply.),Multiple Choice,No,Yes,No,Yes,2,3,3,"When one validation rule fails, Salesforce continues to check any additional validation rules on that field or any other field on the page and displays all appropriate error messages at once.",1,Campaign hierarchies follow validation rules.,0,"Validation rules are only enforced during lead conversion if ""validation and triggers for lead conversion"" are enabled in your organization.",1,"Salesforce runs validation rules before creating records submitted via Web-to-Lead and Web-to-Case, and only creates records that have valid values.",1,,0,,0
You should use a lookup filter if __________. (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,You want to improve user efficiency by limiting the number of available options in a lookup search dialog.,1,You are close to the maximum number of lookup filters allowed.,0,You want to improve user efficiency by automating filters on lookup search dialogs that your users manually set.,1,"You must implement a complex business rule that requires you to use a formula. Formulas can reference fields that basic filter criteria can't reference, such as fields on the parent of the source object. Formulas can also use functions. For example, use ISNEW if the rule should only apply on record creation, or ISCHANGED if the rule should apply when a field changes.",0,,0,,0
You should use a Validation rule if __________. (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,You want to improve user efficiency by limiting the number of available options in a lookup search dialog.,0,You are close to the maximum number of lookup filters allowed.,1,You want to improve user efficiency by automating filters on lookup search dialogs that your users manually set.,0,"You must implement a complex business rule that requires you to use a formula. Formulas can reference fields that basic filter criteria can't reference, such as fields on the parent of the source object. Formulas can also use functions. For example, use ISNEW if the rule should only apply on record creation, or ISCHANGED if the rule should apply when a field changes.",1,,0,,0
What type of sandbox should you use for full performance and load testing?,Multiple Choice,No,Yes,No,Yes,2,1,1,Developer,0,Partial Copy,0,Full Sandbox,1,Developer Pro,0,,0,,0
What sandbox should you use for data load and integration testing? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Developer,0,Partial Copy,0,Full Sandbox,1,Developer Pro,0,,0,,0
"What sandbox is used for virtually any development, testing, or training purpose? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Developer,0,Partial Copy,0,Full Sandbox,0,Developer Pro,1,,0,,0
"The sandbox copy engine creates an organization as part of each creation and refresh request. So, the organization ID of your sandbox changes each time your sandbox is refreshed.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What happens to user information when a sandbox is created? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,The sandbox name is appended to the username.,1,"If the resulting username is not unique, a second modification is performed in which some characters and digits are prepended to the modified username.",1,User e-mail addresses are NOT modified in your sandbox so that production users don't receive automatically generated e-mail messages from the sandbox.,0,All of the above.,0,,0,,0
New and refreshed sandboxes have the default e-mail deliverability setting System e-mail only.What are the other options? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,No access,1,System e-mail only,1,All access,0,All e-mail,1,,0,,0
What is true about unmanaged packages?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Once the components are installed from an unmanaged package, the components can be edited in the organization they are installed in.",0,"The developer who created and uploaded the unmanaged package has no control over the installed components, and can't change or upgrade them.",0,"Unmanaged packages should not be used to migrate components from a sandbox to production organization. Instead, use Change Sets.",0,All of the above.,1,,0,,0
What is true about change sets? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Change sets can only contain modifications you can make through the Setup menu.,1,They contain data such as records.,0,Change sets can only be sent between organizations that are affiliated with a production organization.,1,All of the above.,0,,0,,0
What are use cases for Validation Rules?,Multiple Choice,No,Yes,No,Yes,2,1,1,Enforce conditionally required fields,0,Enforce proper data format,0,Enforce consistency,0,Prevent data loss,0,All of the above,1,,0
What are the steps for creating a dynamic approval process?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Create (user) lookup fields on the object being approved, Create a custom object as an approval matrix, Populate the approval matrix record, Create Apex code to populate the user fields from the approval matrix record, Create or update an approval process to utilize the new lookup fields.",1,Create standard object as an approval matrix.,0,Create an approval process.,0,All of the above.,0,,0,,0
"For an external object relationship, you can create a lookup relationship.What type of object(s) can be the parent?",Multiple Choice,No,Yes,No,Yes,2,1,1,External,0,Standard or Custom,1,Standard or External,0,Custom,0,,0,,0
"For an external object relationship, you can create an indirect lookup relationship.What type of object(s) can be the parent?",Multiple Choice,No,Yes,No,Yes,2,1,1,External,0,Standard or Custom,1,Standard or External,0,Custom,0,,0,,0
"A Lightning component is a compact, configurable, and reusable element that you can drag and drop onto a Lightning Page in the Lightning app builder.",Multiple Choice,No,Yes,No,Yes,2,1,1,True,1,False,0,,0,,0,,0,,0
What are the standard Lightning components?,Multiple Choice,No,Yes,No,Yes,2,1,1,Filter List,0,Recent Items,0,Report Chart,0,Rich Text,0,Visualforce Page,0,All of the above,1
