Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
Universal Containers wants to provide users with a process to create Opportunity records related to an Account. Many fields can be populated based on theAccount record. Some fields require input from the user.What should an app builder configure to meet the requirement? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Process Builder triggered from Opportunity update,0,Process Builder triggered from Account update,0,Quick Action on the Account object,1,Quick Action on the Opportunity object,0,,0,,0
"Universal Containers (UC) has large data volumes and is nearing data storage limits. The planned solution is to archive historical data to reduce data storage inSalesforce; however, UC would still like to use reports, queries, and lookups on the archived information.Which two options could meet this requirement? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Custom objects,0,External objects,1,Big objects,1,Related objects,0,,0,,0
Cloud Kicks has a sales rep who is stating that their Contact is unavailable for other users to see within Salesforce.In which three ways can an app builder troubleshoot this issue? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Review the Contact record and ensure it is linked to an Account.,1,Create an Account Sharing Rule to give the users access to all records.,0,Create a new Contact and have the users try again.,0,Confirm whether Default Organization-Wide Sharing Settings provide access to the Account.,1,Verify the users with the issue have access to the Contact object.,1,,0
An app builder is tasked with adding key performance indicators on client pages. They want to see a summary of the number of open Opportunities and the number of won Opportunities for each Account.Where should the app builder go to build these new rollups? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Opportunity Object,0,Lightning Object Creator,0,Lightning App Builder,0,Account Object,1,,0,,0
DreamHouse Realty (DR) employees started using company-owned airplanes for work travel after Ursa Major Solar was acquired. DR executives want to automate the submission travel request forms to enforce the internal policy.How should an app builder automate travel request based on these criteria? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Process Builder,0,Approval process,1,Workflow rule,0,Apex,0,,0,,0
Service Agents are required to confirm a user's identity before providing support information over the phone.What feature can an app builder use to help agents meet this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Add Path to the top of the Case layout.,0,Include Surveys as a Case related list.,0,Guided Action Flows on the record page.,1,Case Validation Rules.,0,,0,,0
Which two solutions prevent a formula field from being referenced by a Roll-Up Summary field? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,A cross-object workflow updating a field referenced by the formula field,0,A cross-object field reference in the formula field,1,The CASE() function in the formula field,0,The NOW() function in the formula field,1,,0,,0
Which two field types can be referenced by a Roll-Up Summary field using MIN or MAX? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Checkbox,0,Percent,1,Date/time,1,Formula,0,,0,,0
An app builder needs to create new automation on an object.What best practice should the app builder follow when building out automation?,Multiple Choice,No,Yes,No,Yes,2,1,1,One Workflow rule per object.,0,One invocable process per object.,0,One record change process per object.,1,One Flow per object.,0,,0,,0
What should an app builder do to upgrade an unmanaged package that has been installed into production? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Install the new version to a Developer org then deploy to production.,0,Uninstall the current version and install the new version.,1,Click the update link on the Installed Packages page.,0,Install the new version in a sandbox then deploy to production.,0,,0,,0
"The developer at Universal Containers wants to test code in a sandbox environment. In order to ensure the code works properly, the sandbox needs to have at least half a gigabyte of data. The sandbox will need to be refreshed after each three-day sprint.What type of sandbox should the App Builder provision to the developer? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Partial Data,0,Full Copy,0,Developer,0,Developer Pro,1,,0,,0
"An app builder has modified a Lightning record page for a case and has added an email button item to the page layout; however, users are unable to see the new item on the layout.What are two potential reasons why users are unable to view the item on the Case Lightning record page? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,The email button contains JavaScript.,1,The page layout excludes the case feed component.,1,The page layout includes the case feed component.,0,The case page layout also contains custom buttons.,0,,0,,0
Ursa Major Solar want to see the Type field from the parent object Galaxy listed on the child record Star. The app builder is receiving an error stating `Picklist values are only supported in certain functions`.What formula should an app builder use to achieve the desired result? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,TEXT(Galaxy__r.Type__c),1,VALUE(Galaxy__r.Type__c),0,ISPICKVAL(Galaxy__r.Type__c),0,FIND(Galaxy__r.Type__c),0,,0,,0
Ursa Major Solar wants to convert the relationship between Galaxy and Star from a lookup relationship to a master-detail relationship so each Galaxy record can be equipped with a roll-up summary count of Star records.Which two considerations should be made? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,The Star object has fewer than two existing master-detail relationships.,1,The Galaxy object is required to contain existing roll-up summary fields.,0,The Galaxy object has fewer than two existing master-detail relationships.,0,The Star records are all required to have an existing value in their Galaxy field.,1,,0,,0
The appraisal team at DreamHouse Realty wants to leverage Salesforce mobile app.What are three things an app builder should do to optimize mobile experience? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Put the most important fields in the compact layout so they are easy to find.,1,Create individual customized layouts for different phone operating systems.,0,Minimize the amount of formula fields and lookup fields to reduce page load time.,1,Avoid using default fields values so that the user is required to fill in all fields on the screen.,0,Use Global Actions to make it easy to perform vital functionality on mobile.,1,,0
Universal Containers allows users to create standard reports on demand.Which three considerations users should be aware of when creating a new report? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Charts can be added to summary reports to provide a visualization.,1,Users can require that child objects exist for parent records using a cross filter.,0,Records will be available in the report regardless of security permissions.,1,The report type determines the types of records and fields that will be available.,1,Users will need to add the report to a shared folder for other users to see it.,0,,0
"DreamHouse Realty is rethinking its sandbox utilization strategy after acquiring Cloud Kicks. The Salesforce COE already utilizes a partial and a full sandbox, which it refreshes on their own regular schedules. Teams are expanding and have to begin each of their small projects in a sandbox before committing to the larger pool for collaborative testing while still keeping costs down.What type of sandbox should each team member use?",Multiple Choice,No,Yes,No,Yes,2,1,1,Partial sandbox,0,Full sandbox,0,Developer sandbox,1,Developer pro sandbox,0,,0,,0
Managers at Universal Containers want a quick way to create additional accounts to form a hierarchy from a parent account record. They want to auto-populate five fields based on the parent to make it easier for users to create the child accounts quickly.What should the app builder recommend?,Multiple Choice,No,Yes,No,Yes,2,1,1,Custom Global Quick Action,0,Create a custom action,1,Add Path on Account hierarchy,0,Add a custom Link on Account,0,,0,,0
Ursa Major Solar has made a great app that leadership wants to share with the world for free via AppExchange.What should an app builder consider about the type of package when uploading to AppExchange?,Multiple Choice,No,Yes,No,Yes,2,1,1,Unmanaged packages allow for patches on programmatic changes but not Apex.,0,Managed packages provide intellectual property protection on Apex code.,1,Managed packages need a per-user charge on AppExchange.,0,Unmanaged packages can be set up to prevent user customizations.,0,,0,,0
Ursa Major Solar's sales team has been struggling to enter data on mobile since rollout; the team dislikes scrolling through all of the fields to input only the necessary data.How could the app builder solve this with minimal impact to desktop users? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Filter components by device using Form Factor.,1,Reorder the fields to make sense for the reps when in the field.,0,Deselect the phone radio button on the Lightning record page assignment.,0,Update the training documentation with better screenshots.,0,,0,,0
Sales reps at Universal Containers create multiple quotes per opportunity.What automation tool should an app builder recommend to delete rejected quotes?,Multiple Choice,No,Yes,No,Yes,2,1,1,Validation rule,0,Flow process,1,Workflow rule,0,Approval process,0,,0,,0
"Cloud Kicks (CK) wants to set up a custom child object to track gift cards issued to a customer. A key requirement is to track the total number of gift cards opened and gift cards issued on an Account. CK wants to permanently ensure the gift cards are unable to be moved across any other Account once it is created.On the gift card object, what type of field should be created to support this requirement? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Formula,0,Master-detail relationship,1,Poll-up summary,0,Lookup relationship,0,,0,,0
Universal Containers's app builder has been tasked with replacing workflow rules and Apex triggers with Process Builders where possible.What are two important considerations an app builder should know before the project is started? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Apex has a different SOQL query limit than Flow.,0,Combine actions when possible.,1,Create a process for each workflow rule.,0,Avoid generating infinite loops.,0,,0,,0
A user is unable to use inline editing on a list view. A quick check verifies the user should be able to perform inline editing as they have been assigned the appropriate permissions.Which two conditions should the app builder review? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,If the list view contains more than one record type,1,If the list view selected is the recently viewed list view,0,If the list view restricts sharing for the user,1,If the list view contains a chart created by the user,0,,0,,0
Service agents at Ursa Major Solar want a more condensed case view. Service agents also want to be able to modify the associated contact and account records from the case page layout on the Lightning record page.Which two components should an app builder use to meet these requirements? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,1,1,Related record,1,Rich text,0,Path,0,Tabs,0,,0,,0
The app builder at Ursa Major Solar has just created a master-detail relationship between a parent object Galaxy__c and child object Star__c.What would be the effect of creating this type of relationship if users want to report on Galaxy__c with Star__c? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,A new custom report type will need to be created for Galaxy__c with Star__c.,0,A Star__c report type with Galaxy__c as a field will be automatically created.,0,A Galaxy__c with Star__c report type will be automatically created.,1,A new custom report type will need to be created for Star__c with lookup fields from Galaxy__c.,0,,0,,0
Cloud Kicks (CK) wants to begin socializing and collaborating within Salesforce around customer accounts to discuss various topics. CK would like all company employees to see these conversations.Which two features of Chatter would meet CK's business needs? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,1,1,Use Chatter actions to create tasks to complete.,0,Set up new public Chatter groups.,1,Set up new private Chatter groups.,0,Use post action on the Account object.,0,,0,,0
What are the limitations of Schema Builder when creating a custom object? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,"Relationships can be made to any custom objects, but any relationships to standard objects should be built in Lightning Object Manager.",0,"Fields and relationships can be created, but they will be unable to add the fields to the page layout from the canvas.",1,"ג€Saveג€ should be clicked each time a new object, field, or relationship is created.",0,"Custom fields can be added to any custom objects, excluding the formula field types.",0,,0,,0
"Universal Containers has a Lightning record page that supports both the mobile app and desktop. An app builder has downloaded a custom Lightning component from AppExchange, but users are unable to view the component on mobile devices.What can be the issue? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,The record page template is unable to support mobile devices.,0,The component needs to be activated.,0,The record page needs to be activated.,0,The component has been developed for Desktop Pages.,1,,0,,0
"Ursa Major Solar is ramping up the sales team to meet increased demand. As part of the short ramp up for these new reps, the manager wants to provide a help guide to enable reps to easily get help where needed during the different sales processes.Which solution should an app builder recommend? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Flow,0,Journey Builder,0,Chatter Publisher,0,Path,1,,0,,0
Ursa Major Solar wants to automate a welcome email to new clients and include a customized survey about their buying experience. An app builder is tasked with this project and has very little time to build the solution from scratch.What should the app builder do to meet the deadline and custom requirements? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Work with a developer to create custom apex code and a Visualforce survey to meet criteria.,0,Choose a managed package from AppExchange that closely meets the requirements of the project and restricts programmatic development.,0,Select an unmanaged package from AppExchange that closely meets the requirements of the project that allows programmatic development.,1,Build the survey declaratively and use a workflow rule to send it to the customer as an external message to meet criteria.,0,,0,,0
