Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
"Cloud Kicks (CK) switched to Lightning Experience and started using Chatter across its global workforce to support its fast-paced sales cycle. CK loves Chatter but struggle with gathering feedback from core team members, including understanding who is available to respond.Which two ways could CK use Chatter to solve this problem? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Out of Office,0,Topics,0,Polls,1,Streams,0,,0,,0
"Universal Containers wants to embed a chart of all related Opportunities, by stage, on the Account detail page.Which type of report should an app builder create to add to the Account page layout? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,A summary report on the Account object,0,A tabular report on the Opportunity object,0,A tabular report on the Account object,0,A summary report on the Opportunity object,1,,0,,0
"Universal Containers uses Contracts for agreements with customers. A sales manager is required to provide approval for contracts and director approval for any contract over $10,000.Which two options should an app builder use to ensure all contracts route for the correct approval and also prevent the sales rep from making changes to the record while it is being approved? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Create an approval process on the Contract object with one step for each sales manager that sets the approver as the director.,0,Create a validation rule on the Contract object that prevents updates to the contract record while it is being reviewed.,0,"Create an approval process on the Contract object with criteria set on a second approval step as 'Amount__c > 10,000' and set the approver as director.",1,Create an approval process on the Contract object and set the field for 'Next Automated Approver Determined By' as 'Manager'.,1,,0,,0
Universal Containers is piloting new features in an existing sandbox and wants to prevent outbound email sends during testing.What should the app builder do to meet the requirement? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Email deliverability set to no access.,0,Email configured for SMTP authentication.,0,Email relay to the configured host enabled.,0,Email deliverability set to system email only.,1,,0,,0
The services manager wants to make sure the team enters case priority consistently.What feature can an app builder use to accomplish this?,Multiple Choice,No,Yes,No,Yes,2,1,1,In-App Guidance,1,Next Best Action,0,Flow,0,Path,0,,0,,0
"On the Account Lightning record page, users need to see ten fields and the ability to sort and wrap text on their Related Lists.What Related List type would the app builder select for the Related List Lightning component? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,List View,0,Basic List,0,Enhanced List,1,List Class,0,,0,,0
The previous administrator of Cloud Kicks' (CK) Salesforce Organization used text as the field type when creating new custom fields. CK's current roadmap requires a project that will clean this up during the Lightning migration.Which three field types should be considered to keep better track of contact information fields? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Email.,1,Date,1,Time,0,Number,0,Phone,1,,0
Cloud Kicks (CK) is finding sales reps are inconsistent in data entry when deals are won. CK requires that custom shoes are shipped within two weeks after the close date. A custom field called Scheduled Ship Date on the opportunity records the ship date.How should the app builder ensure this field is properly filled out before setting the opportunity to closed won? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,"ISPICKVAL( StageName ,ג€Closed Wonג€) && ( Scheduled_Ship_Date__c - CloseDate) > 14",1,"OR(ISPICKVAL( StageName ,ג€Closed Wonג€) && ( Scheduled_Ship_Date__c - CloseDate) > 14, ISBLANK(Scheduled_Ship_Date__c))",0,"OR(ISPICKVAL( StageName =ג€Closed Wonג€) && ( Scheduled_Ship_Date__c - CloseDate) > 14, ISBLANK(Scheduled_Ship_Date__c))",0,ISPICKVAL( StageName =ג€Closed Wonג€) && ( Scheduled_Ship_Date__c - CloseDate) > 14,0,,0,,0
Universal Container wants customers to be able to open cases from a public-facing website.What should the app builder use to enable visitors to the website?,Multiple Choice,No,Yes,No,Yes,2,1,1,Web-to-case,1,Screen flow,0,Email-to-case,0,Outbound message,0,,0,,0
"A Service Coordinator (SC) for Ursa Major Solar (UMS) does a final review of work orders owned by a technician for a specific region before the records are submitted for an invoice. Before closing out the work order, the SC needs to modify data or remove attachments that were added by mistake. The SC also needs access to any other related records owned by the technician.What solution would provide the required access, given a private data model?",Multiple Choice,No,Yes,No,Yes,2,1,1,Put the SC in the role hierarchy above the technicians whose work orders they review.,1,Create a workflow rule that updates records owned by technicians in that region with the SC.,0,Give the SC a permission set with the Modify All Data system permission.,0,Change work order access on the SC’s profile to ‘Modify All’.,0,,0,,0
Cloud Kicks (CK) tracks the support level of its customers on the account record page. CK wants to show a text notification on a case record page when the related account is a platinum-level customer.How could an app builder meet this requirement? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,"Clone the Case Lightning page > Add a rich text component to the new page, and assign this page to platinum accounts.",0,Create a text-only custom Lightning Web Component > Drag the custom Lightning Web Component into the Case page layout > Set its visibility to show when the account support level is platinum.,0,"Create a text-only custom Lightning Web Component > Clone the case page layout > Drag the custom Lightning Web Component into the page, and assign the layout to platinum cases.",0,Add a rich text component to the Case Lighting page > Set the component visibility of the rich text component to show when the account support level is platinum.,1,,0,,0
An app builder has created a new report type but users are unable to select it from the Report Type list when making a new report for records they own.What could be causing this issue?,Multiple Choice,No,Yes,No,Yes,2,1,1,The report type is in a status of In Development.,1,Access to the necessary object is unavailable.,0,The report type is in a status of Deployed.,0,Access to Create and Customize Reports is disabled.,0,,0,,0
An app builder is creating a Lightning record page and has added Mobile & Lightning Actions to the page layout.What two components could be included on the layout to display the actions? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Activities,0,Chatter,1,Highlights panel,1,Path,0,,0,,0
"Cloud Kicks (CK) wants to track orders against inventory, ensuring its ability to fulfill order requests. CK created a junction object called Request Inventory to enable many-to-many relationships with the Inventory and Order objects.What does the app builder need to provide to ensure users can view Request Inventory records? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Apex-based sharing on the first master object.,0,Read access to the first master object.,1,Read access to both master objects.,0,Sharing rules on Request Inventory object.,0,,0,,0
"An app builder wants to create a report to compare the number of support cases in each status (New, In-progress, or Closed) and by priority (Critical, High, Medium, or Low).What solution should be used for the report? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Filters,0,Grouping,0,Bucket Columns,1,Custom Report Type,0,,0,,0
Property installing managed packages helps prevent conflicts with customizations made by customers and partners.What functionality should be used to set up packages?,Multiple Choice,No,Yes,No,Yes,2,1,1,Help setting,0,Namespace,1,Allow sharing,0,Description,0,,0,,0
Universal Containers uses a custom picklist field Account Region on the account record. They want this region to be reflected on all related contact records and stay in sync if the value of this field changes on the Account.How should an app builder meet this requirement? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Create a picklist field called ‘Account Region’ on Contact object > Create a workflow rule to update this picklist field if the Account Region field on the Account is changed.,0,Create a formula field on the Contact object > Set the value of the formula to ISPICKVAL(Account.Account_Region__c).,0,Create a text field called ‘Account Region’ on Contact object > Create a workflow rule to update this picklist field if the Account Region field on the Account is changed.,0,Create a formula field on the Contact object > Set the value of the formula to TEXT(Account.Account_Region__c).,1,,0,,0
Cloud Kicks received a new requirement to calculate summaries from child objects of a standard object. The team would prefer to solve this declaratively.What are two considerations an app builder should evaluate? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,A trigger on save or update can kick off calculations.,0,An app builder is unable to change a lookup to a master-detail relationship.,0,An object can have up to two master-detail relationships.,1,A value is required in all records of the lookup field prior to converting to a master-detail relationship.,1,,0,,0
Universal Containers (UC) delivers purchased containers to remote construction sites. Customers supply UC with crossroads or location makers.What type of field should the app builder use to capture this information?,Multiple Choice,No,Yes,No,Yes,2,1,1,Geolocation,1,Number,0,Formula,0,External Lookup,0,,0,,0
"An app builder has downloaded a component from the AppExchange successfully; however, they are unable to add it to the Lightning home page.Which two reasons can be preventing the app builder from being able to add the custom component? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,The component requires a developer permission to add it to the page with the App Builder.,0,A custom tab must be created to add custom components to the page with the App Builder.,0,The component is tagged for record pages instead of home pages and is not showing up in the App Builder.,1,My Domain must be deployed to add custom components to the page with the App Builder.,1,,0,,0
"An app builder is creating a custom object called Testimonial__c and wants to connect Testimonial__c records with both the submitter’s Contact record and Account record. If the Account is deleted, the Testimonial__c should also be deleted. If the Contact is deleted, but the Account remains, the Testimonial__c should remain.How should this be accomplished? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a lookup relationship from Testimonial__c to Account and a master-detail relationship from Testimonial__c to Contact.,0,Create a master-detail relationship from Testimonial__c to Account and a lookup relationship from Testimonial__c to Contact.,1,Make Testimonial_c a junction object between Account and Contact using master-detail relationships.,0,Make both the Contact and Account fields required on the Testimonial__c object and create lookup relationships from Testimonial__c to Contact and to Account.,0,,0,,0
Cloud Kicks wants to know the total value of all won Opportunities for Accounts and display it on the record.What type of summary should the app builder use in the roll-up summary field? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Max,0,Count,0,Min,0,Sum,1,,0,,0
Universal Containers wants some enhancements on its Opportunity page layout to improve efficiency and collaboration.Which two solutions should an app builder suggest to help meet these requirements? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Use two Tabs components to separate record information from activities.,0,Mark stage dependent fields as required on the Opportunity page layout.,1,Add a Path component with fields and instructions aligning to stages on the Opportunity.,1,Set up an approval process requiring manager consent at each stage of the Opportunity.,0,,0,,0
"The DreamHouse Realty (DR) service manager has asked for some improvements in case management to enforce process compliance so that cases are unable to be reverted to an earlier case status, and to ensure that certain fields are required when specific case criteria are met.Which solution should an app builder implement to meet these requirements?",Multiple Choice,No,Yes,No,Yes,2,1,1,Activities Component,0,Process Builder,0,Workflow Rules,0,Validation Rules,1,,0,,0
An app builder notices several Accounts converted from Leads are missing information they expected to be caught via Account validation rules.What could be the source of this Issue?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lead validation rules fail to validate on records when they are being converted.,0,Account validation rules fail to validate on records converted from a lead.,0,The lead settings are unchecked to require validation for converted leads.,1,The lead settings are allowing users to intentionally bypass validation rules.,0,,0,,0
"Cloud Kicks (CK) wants to quickly insert a list of over 60,000 net new Accounts. The template based on CK’s data model was used to populate the list.Which tool should be used?",Multiple Choice,No,Yes,No,Yes,2,1,1,Import Wizard,0,Lightning Object Creator,0,Schema Builder,0,Data Loader,1,,0,,0
Cloud Kicks recently implemented the application lifecycle management process to its release management strategy.Which category handles bug fixes and simple changes?,Multiple Choice,No,Yes,No,Yes,2,1,1,Minor,0,Rollback,0,Patch,1,Major,0,,0,,0
DreamHouse Realty wants to import its property records from an external system into Salesforce. The app builder will use an external ID field to house the property ID from the external system.Which two details should the app builder know when using external ID fields? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,An external ID field can be a URL field.,0,An external ID field can be a number field.,1,An external ID field can be a phone field.,0,An external ID field can be a text field.,1,,0,,0
"An app builder has a custom component they want to make available on the utility bar, but the component is unavailable.How should the component be tagged? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,For use in App Manager.,0,For use in Lightning App Builder.,0,For use on record pages.,0,For use on the utility bar.,1,,0,,0
Universal Containers is expecting impacts to operations due to increased demand. The executive team will be reaching out to current customers and want to see the number of open cases for the account and parent account.Which two tools could an app builder combine to display the number of open cases on the account page? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Approval Process,0,Process Builder,1,Flow,1,Workflow,0,,0,,0
"Ursa Major Solar wants to provide sales console users with an incredible experience, with the most-used components easily accessible at all times.What solution can enable reps to see and access these components from anywhere within the app without leaving the page where the team is working?",Multiple Choice,No,Yes,No,Yes,2,1,1,Home page,0,Favorites,0,Utility bar,1,Global actions,0,,0,,0
The Service Manager provided the app builder with color code requirements for case age on open cases.New cases populate a green circleDay-old cases populate a yellow circleThree day-old cases populate a red circleHow should an app builder implement this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Lightning Web Component,0,Quick Action,0,Custom Button,0,Formula Field,1,,0,,0
Universal Containers (UC) has created a picklist held called Status on three separate custom objects. UC has a requirement to share the list of values for this field across each object.Which feature would an app builder use?,Multiple Choice,No,Yes,No,Yes,2,1,1,Field Update,0,Global Picklist Value Set,1,Dynamic Action,0,Dependent Picklist,0,,0,,0
An app builder at Cloud Kicks created a custom object and related fields in the schema builder.What next steps should the app build take to ensure users can access the new object and fields? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Allow reporting for the object and fields.,0,Assign data types to the fields on the object.,0,Add the fields to the page layout on the object.,1,Create a permission set for access to the object and fields.,0,,0,,0
"DreamHouse Realty (DR) is expanding into subsidized housing by partnering with local government entities. DR uses Sales Cloud and has enabled field history tracking on the Opportunity object. Due to increased information requirements, the App Dev team is changing Text Area (Long) fields to Rich Text fields to allow for up to 1,000 characters and better descriptions.Which two considerations should be made by the team? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Audit Trail is available through REST API extracts.,0,Data loss may occur when changing custom field types.,1,Field History Tracking records value changes of 255 characters or less.,1,Rich text field values of all lengths are displayed fully in reports.,0,,0,,0
"Cloud Kicks conducts an evaluation of sales reps with a custom object that houses a scorecard.The company wants to ensure that only the sales reps, their managers, and their manager's executives can view the rep’s scorecard, but also prevent the reps from being able to view the executive comment fields on their review.How should these requirements be met?",Multiple Choice,No,Yes,No,Yes,2,1,1,Use a private sharing model granting record access using hierarchy; manage field access with record types and field-level security.,0,Use a private sharing model granting record access using custom settings; manage field access with page layouts and field-level security.,0,Use a private sharing model granting record access using hierarchy; manage field access with field-level security.,1,Use a private sharing model granting record access using custom settings; manage field access with record types and page layouts.,0,,0,,0
Cloud Kicks has leads owned by users and queues. The sales manager wants the status to change to working when a user takes ownership.What does an app builder need to have in the criteria to ensure the process runs without error?,Multiple Choice,No,Yes,No,Yes,2,1,1,NOT(ISBLANK([Lead].OwnerId)),0,[Lead].Owner:UserRole Is Null = False,0,"BEGINS([Lead].OwnerId, “005”)",1,[Lead].Owner:Queue.OwnerId Is Null = True,0,,0,,0
Universal Containers needs the 18-digit record ID from Opportunity records when exporting data to Excel in order to ensure each record is treated uniquely.What formula should an app builder use to create this new field?,Multiple Choice,No,Yes,No,Yes,2,1,1,TEXT(Id),0,ISNUMBER(Id),0,CASESAFEID(Id),1,VALUE(Id),0,,0,,0
Northern Trail Outfitters uses a custom object to track travel requests. Rangers want to have automatic posts on a record whenever a travel request has been approved.Which feature should be used to accomplish this? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Feed tracking,1,Feed quick action,0,Workflow rule,0,Auto-response rule,0,,0,,0
Cloud Kicks’s management team frequently travels and wants to approve requests from their team on the go via Chatter.Where would an app builder enable this ability?,Multiple Choice,No,Yes,No,Yes,2,1,1,Chatter Feed Tracking,0,Approval Process Setting,0,Object Setting,0,Chatter Settings,1,,0,,0
"A recently refreshed partial sandbox at Cloud Kicks has no data in the custom object Shipping. Checking in production, there are two million rows of data in the object.What could be the reason the data is missing? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,The selected objects in the sandbox template.,1,The partial sandbox is at capacity.,0,The sandbox is still populating data.,0,The sandbox was refreshed too early.,0,,0,,0
An app builder wants to update a field on the parent record when a child record connected via lookup is deleted.What automation should the app builder use?,Multiple Choice,No,Yes,No,Yes,2,1,1,Process Builder,0,Workflow rule,0,Screen flow,0,Apex code,1,,0,,0
Cloud Kicks has five years of sales data and would like to track when customers made their first purchase.How should an app builder use a roll-up summary to meet the requirements? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,"Create a new date field called First Order Date, create a new Workflow to set the date, and roll up the value with a filter where IsWon = TRUE.",0,"Create a new roll-up summary field called First Order Date, using Type MIN on the Opportunity Close Date with a filter where IsWon = TRUE.",1,"Create a new roll-up summary field called First Order Date, using Type SUM on Opportunity Close Date.",0,"Create a new date field called First Order Date, then create a roll-up summary to update the field using Type MIN.",0,,0,,0
A sales manager at Cloud Kicks wants the team to spend more time in the field and less time manually entering the information found on the business cards they collect.What should an app builder do to help achieve this goal without sacrificing data quality?,Multiple Choice,No,Yes,No,Yes,2,1,1,Use Flow to create a data entry wizard to automate data entry.,0,Research and evaluate data enrichment products on the AppExchange to automate data entry.,1,Use a combination of workflow rules and formula fields to populate key fields for the sales user.,0,Post daily to the Chatter feed any relevant fields that need to be populated.,0,,0,,0
Universal Containers (UC) maintains information for over 2 million assets in an external system. UC needs to access these assets in real-time data in Salesforce and is nearing the data storage limits.What feature could an app builder recommend UC use?,Multiple Choice,No,Yes,No,Yes,2,1,1,Data Loader,0,Data Export Wizard,0,Salesforce Connect,1,Salesforce to Salesforce,0,,0,,0
Universal Containers created a ‘New Task’ custom action on the Opportunity object. The action was added to all page layouts in the Mobile & Lightning Actions section.Which Lightning component should the app builder add to the layout to display the action?,Multiple Choice,No,Yes,No,Yes,2,1,1,Related lists,0,Activities,0,Highlights panel,1,Related record,0,,0,,0
An app builder has deployed a change set from a sandbox to production. There is a long delay in the deployment.What can be causing the delay?,Multiple Choice,No,Yes,No,Yes,2,1,1,Dependent fields are included in the change set.,0,Roles are included in the change set.,0,A field type change is included in the change set.,1,Profiles are included in the change set.,0,,0,,0
Sales reps at Cloud Kicks (CK) forget to submit for approval when CK needs orders reviewed before close won. CK wants to automatically submit opportunities into the Secure Commitment Stage to eliminate manual submission.Which three features could meet the business requirements? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Workflow,0,Chatter action,0,Process Builder,1,Apex,1,Flow,1,,0
At Ursa Major Solar there is a requirement for a new field called Planet Details on the Planet object where users can write detailed descriptions that can include pictures and links.What field type should the app builder utilize to fulfill this requirement? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Long Text Area,0,Multi-Select Picklist,0,URL,0,Rich Text Area,1,,0,,0
Universal Containers (UC) has a custom Invoice object and a custom Invoice Line Item object. The Invoice Line Item object has a lookup relationship to the Invoice. UC would like to convert the lookup relationship to a master-detail relationship but is unable to do so.Which two reasons could be preventing this relationship conversion? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,There are already two master-detail relationships on the Invoice Line Item.,1,Invoice Line Item records exist without having the Invoice lookup field populated.,0,Custom objects are unable to be on the detail side of a master-detail relationship.,0,There is a roll-up summary field on the Invoice object.,0,,0,,0
